IMPACT	Accession	TF	Tissue	Cell
1	GSM449525	ETS1	BLOOD	Jurkat (Clone E6-1)
2	GSM449526	RUNX1	BLOOD	Jurkat (Clone E6-1)
2	GSM722170	RUNX1	BLOOD	Jurkat (Clone E6-1)
3	GSM468213	RXRA	BLOOD	UPR9
3	GSM468214	RXRA	BLOOD	UPR9
4	GSM534471	CTCF	ADIPOCYTE	Adipose stromal cell
4	GSM534478	CTCF	ADIPOCYTE	Adipose stromal cell
4	GSM534485	CTCF	ADIPOCYTE	Adipose stromal cell
4	GSM534492	CTCF	ADIPOCYTE	Adipose stromal cell
5	GSM534493	PPARG	ADIPOCYTE	Adipose stromal cell
5	GSM534494	PPARG	ADIPOCYTE	Adipose stromal cell
6	GSM558630	VDR	BLOOD	Lymphoblastoid cell line
6	GSM558631	VDR	BLOOD	Lymphoblastoid cell line
6	GSM558632	VDR	BLOOD	Lymphoblastoid cell line
6	GSM558633	VDR	BLOOD	Lymphoblastoid cell line
6	GSM558634	VDR	BLOOD	Lymphoblastoid cell line
6	GSM558635	VDR	BLOOD	Lymphoblastoid cell line
6	GSM558636	VDR	BLOOD	Lymphoblastoid cell line
6	GSM558637	VDR	BLOOD	Lymphoblastoid cell line
7	GSM558678	ETV1	GI	GIST-48
8	GSM542547	ESR2	MUSCULOSKELETAL	U2OS
8	GSM542548	ESR2	MUSCULOSKELETAL	U2OS
9	GSM537063	E2F4	BLOOD	GM06990
10	GSM518375	CTCF	STEMCELL	hESC H1
10	GSM624077	CTCF	STEMCELL	hESC H1
10	GSM646334	CTCF	STEMCELL	hESC H1
10	GSM646335	CTCF	STEMCELL	hESC H1
10	GSM733672	CTCF	STEMCELL	hESC H1
10	GSM822297	CTCF	STEMCELL	hESC H1
10	GSM803419	CTCF	STEMCELL	hESC H1
11	GSM594602	ESR1	BREAST	MCF-7
11	GSM594603	ESR1	BREAST	MCF-7
11	GSM589236	ESR1	BREAST	MCF-7
11	GSM589237	ESR1	BREAST	MCF-7
11	GSM798423	ESR1	BREAST	MCF-7
11	GSM798424	ESR1	BREAST	MCF-7
11	GSM798425	ESR1	BREAST	MCF-7
11	GSM798432	ESR1	BREAST	MCF-7
11	GSM798433	ESR1	BREAST	MCF-7
11	GSM798434	ESR1	BREAST	MCF-7
11	GSM798435	ESR1	BREAST	MCF-7
11	GSM986059	ESR1	BREAST	MCF-7
11	GSM986060	ESR1	BREAST	MCF-7
11	GSM986063	ESR1	BREAST	MCF-7
11	GSM986064	ESR1	BREAST	MCF-7
11	GSM1019125	ESR1	BREAST	MCF-7
11	GSM1019128	ESR1	BREAST	MCF-7
11	GSM1019131	ESR1	BREAST	MCF-7
11	GSM1295590	ESR1	BREAST	MCF-7
11	GSM1295591	ESR1	BREAST	MCF-7
11	GSM1325246	ESR1	BREAST	MCF-7
11	GSM1325247	ESR1	BREAST	MCF-7
11	GSM1325248	ESR1	BREAST	MCF-7
11	GSM1325249	ESR1	BREAST	MCF-7
11	GSM1325250	ESR1	BREAST	MCF-7
11	GSM1325251	ESR1	BREAST	MCF-7
11	GSM1348521	ESR1	BREAST	MCF-7
11	GSM1348522	ESR1	BREAST	MCF-7
11	GSM1348523	ESR1	BREAST	MCF-7
11	GSM1348524	ESR1	BREAST	MCF-7
11	GSM1348525	ESR1	BREAST	MCF-7
11	GSM1348526	ESR1	BREAST	MCF-7
11	GSM1534720	ESR1	BREAST	MCF-7
11	GSM1534721	ESR1	BREAST	MCF-7
11	GSM1534722	ESR1	BREAST	MCF-7
11	GSM1534723	ESR1	BREAST	MCF-7
11	GSM1534724	ESR1	BREAST	MCF-7
11	GSM1534725	ESR1	BREAST	MCF-7
11	GSM1534726	ESR1	BREAST	MCF-7
11	GSM1534727	ESR1	BREAST	MCF-7
11	GSM1534746	ESR1	BREAST	MCF-7
11	GSM1534747	ESR1	BREAST	MCF-7
11	GSM1534751	ESR1	BREAST	MCF-7
12	GSM589238	ESR1	BREAST	T-47D
12	GSM589239	ESR1	BREAST	T-47D
12	GSM798428	ESR1	BREAST	T-47D
12	GSM798429	ESR1	BREAST	T-47D
13	GSM589240	ESR1	BREAST	Ishikawa
13	GSM589241	ESR1	BREAST	Ishikawa
14	GSM589242	ESR1	BREAST	ECC-1
14	GSM589243	ESR1	BREAST	ECC-1
15	GSM586887	CTCF	PANCREAS	Pancreatic islets
15	GSM586888	CTCF	PANCREAS	Pancreatic islets
16	GSM575224	CDX2	GI	Caco-2
16	GSM575225	CDX2	GI	Caco-2
17	GSM575226	GATA6	GI	Caco-2
17	GSM575227	GATA6	GI	Caco-2
18	GSM575228	HNF4A	GI	Caco-2
18	GSM575229	HNF4A	GI	Caco-2
19	GSM612960	GABPA	BLOOD	CD34 Hematopoietic stem cells
20	GSM607949	GATA1	BLOOD	CD34+
20	GSM722392	GATA1	BLOOD	CD34+
20	GSM722393	GATA1	BLOOD	CD34+
20	GSM722394	GATA1	BLOOD	CD34+
20	GSM722395	GATA1	BLOOD	CD34+
20	GSM970257	GATA1	BLOOD	CD34+
20	GSM970258	GATA1	BLOOD	CD34+
20	GSM1278240	GATA1	BLOOD	CD34+
21	GSM607950	GATA2	BLOOD	CD34+
21	GSM1097883	GATA2	BLOOD	CD34+
22	GSM607951	RUNX1	BLOOD	CD34+
22	GSM722708	RUNX1	BLOOD	CD34+
22	GSM1097884	RUNX1	BLOOD	CD34+
23	GSM607952	FLI1	BLOOD	CD34+
23	GSM1097880	FLI1	BLOOD	CD34+
24	GSM599837	E2F4	ADIPOCYTE	Adipocytes
25	GSM599838	CEBPA	ADIPOCYTE	Adipocytes
26	GSM599839	HSF1	ADIPOCYTE	Adipocytes
27	GSM610330	RUNX1	BLOOD	CMK
28	GSM610332	RUNX1	BLOOD	K-562
28	GSM610334	RUNX1	BLOOD	K-562
29	GSM610335	GATA1	BLOOD	K-562
29	GSM722412	GATA1	BLOOD	K-562
29	GSM722413	GATA1	BLOOD	K-562
29	GSM788367	GATA1	BLOOD	K-562
29	GSM1003608	GATA1	BLOOD	K-562
29	GSM467647	GATA1	BLOOD	K-562
29	GSM935540	GATA1	BLOOD	K-562
30	GSM610336	FOS	BLOOD	K-562
30	GSM610337	FOS	BLOOD	K-562
30	GSM487426	FOS	BLOOD	K-562
30	GSM777644	FOS	BLOOD	K-562
30	GSM935355	FOS	BLOOD	K-562
31	GSM640691	EOMES	STEMCELL	hESC derived mesendodermal cells
31	GSM1505628	EOMES	STEMCELL	hESC derived mesendodermal cells
31	GSM1505629	EOMES	STEMCELL	hESC derived mesendodermal cells
31	GSM1505630	EOMES	STEMCELL	hESC derived mesendodermal cells
31	GSM1505631	EOMES	STEMCELL	hESC derived mesendodermal cells
32	GSM640427	BCL6	BLOOD	JURL-MK1
33	GSM638310	SPI1	BLOOD	Hematopoietic Stem Cells
33	GSM638311	SPI1	BLOOD	Hematopoietic Stem Cells
34	GSM638314	MEIS1	BLOOD	Hematopoietic Stem Cells
34	GSM638315	MEIS1	BLOOD	Hematopoietic Stem Cells
34	GSM638316	MEIS1	BLOOD	Hematopoietic Stem Cells
35	GSM634613	FOXA2	LIVER	Liver
35	GSM634614	FOXA2	LIVER	Liver
35	GSM634615	FOXA2	LIVER	Liver
35	GSM634616	FOXA2	LIVER	Liver
36	GSM634629	PPARG	ADIPOCYTE	SGBS
36	GSM634630	PPARG	ADIPOCYTE	SGBS
36	GSM1020363	PPARG	ADIPOCYTE	SGBS
37	GSM651541	CTCF	BLOOD	CD34+
